Title,Company,Location,URL,Description,skills_required
Data Scientist [Talent Pool all level],PT. Indosat Tbk,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-talent-pool-all-level-at-pt-indosat-tbk-4318330781?position=1&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=CHGLd60ltXErryp%2FX%2FWzQw%3D%3D,"The Data Scientist plays a pivotal role in developing and operationalizing AI and machine learning solutions that address key business challenges across consumer, enterprise, and corporate domains. This role transforms complex business questions into analytical use cases, designs and trains predictive and prescriptive models, and ensures each model delivers measurable business outcomes such as churn reduction, ARPU growth, cost optimization, and customer satisfaction improvement. Beyond model creation, the Data Scientist leads the full AI lifecycle — from data exploration, feature engineering, and model development to testing, pipeline deployment, and continuous performance tracking. Each model is documented through Model Cards and deployed using Vertex AI pipelines (UDP to ACE) to ensure scalability, transparency, and compliance. By combining deep analytical expertise with Responsible AI practices, the Data Scientist ensures that every solution contributes to embedding AI as a strategic, value-generating capability across the organization Responsibilities Translate business needs into technical requirements and define model objectives, input data, and success metrics. Conduct exploratory data analysis (EDA), cleansing, transformation, and feature selection. Build, train, and test machine learning models aligned to business use cases and Responsible AI standards. Engineer new features to improve model performance and capture new business signals. Build, test, and maintain Vertex AI pipelines from UDP (Unified Data Platform) to ACE (AI CoE Environment). Maintain up-to-date model documentation including data lineage, assumptions, KPIs, and Responsible AI checks. Qualifications Bachelor’s or Master’s degree in Data Science, Statistics, Computer Science, or Applied Mathematics. 3–6 years of experience in machine learning model development and experimentation, ideally in telecom, fintech, or technology sectors. Strong proficiency in Python, SQL, and ML frameworks (TensorFlow, PyTorch, Scikit-learn). Experience working with cloud ML platforms (Vertex AI, AWS SageMaker, or Azure ML) and pipeline orchestration. Understanding of Responsible AI, bias testing, and model explainability principles. Strong communication and documentation skills for ARS and Model Card preparation.",aws;azure;communication;data scientist;eda;feature engineering;feature selection;machine learning;python;pytorch;scalability;scikit-learn;sql;tensorflow;testing;vertex ai
Data Scientist (AI Track),OCBC Indonesia,"Tangerang, Banten, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-ai-track-at-ocbc-indonesia-4323171859?position=2&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=yC43vjCOwtnOwX4TJ8ISlg%3D%3D,"OCBC Indonesia | Data Science Team | Jakarta, Indonesia Build the future of intelligent banking. On our own GPU clusters. You’re not just a data scientist. You’re an AI enabled data scientist who builds LLM-powered intelligence that actually works in the real world, especially in high-stakes financial environments. At OCBC Indonesia, you’ll design and deploy production-grade RAG systems that help operations, risk analysts, and customer service teams make faster, smarter, and more compliant decisions. And unlike most companies that rely on cloud APIs, you’ll work directly on our in-house GPU clusters , giving you rare, hands-on access to low-level AI infrastructure, distributed inference, and model optimization at scale. This is not a research lab. This is a high-impact AI team inside one of Southeast Asia’s most trusted banks , where your work directly reduces risk, accelerates loan approvals, and improves customer experience. All with full ownership and visibility. Key Responsibilities Design, build, and deploy production-grade RAG systems to enhance banking operations, customer support, and risk documentation. Integrating structured financial data with unstructured text (loan applications, contracts, regulatory docs, customer chats). Own end-to-end LLM-powered workflows : from query understanding and retrieval optimization to response generation, grounding, and post-processing. Ensuring outputs are accurate, compliant, and auditable. Develop and maintain robust evaluation frameworks (evals) to measure RAG performance across dimensions: relevance, faithfulness, answer correctness, latency, and hallucination rate, using both automated metrics (e.g., RAGAS, LLM-as-a-Judge) and human-in-the-loop validation. Collaborate with Data Engineering and MLOps to integrate RAG pipelines into production systems, leveraging vLLM for high-throughput, low-latency inference at scale. Apply prompt optimization frameworks like GEPA (Generative Evaluation and Prompt Architecture) to systematically improve LLM responses. Iterating on templates, chain-of-thought structures, and retrieval strategies based on eval feedback. Partner with Product, Risk, and Compliance to translate business needs into AI requirements. Drive A/B testing and offline/online evaluation of LLM-enhanced features, measuring uplift in approval rates, reduction in manual review time, or improvement in customer NPS. Minimum Qualifications Bachelor’s or master’s degree in computer science, statistics, mathematics, engineering , or a related quantitative field. 4+ years as a Data Scientist or ML Engineer in b anking, fintech, or financial services , with at least 1 year focused on LLMs and RAG systems . Strong proficiency in Python and core ML libraries, with experience in LLM orchestration frameworks . Proven hands-on experience designing, implementing, and evaluating RAG pipelines . including vector databases, embedding models, retrieval ranking, and response grounding techniques. Expertise in LLM evaluation frameworks . Building custom eval suites, defining metrics (e.g., precision@k, faithfulness, context relevance), and using tools like LangChain, LlamaIndex. Experience with end-to-end ML lifecycle : data wrangling, feature engineering, model training, offline/online evaluation, A/B testing, and production deployment. Ability to communicate complex AI concepts clearly to business, risk, and engineering teams, with a bias for clarity over jargon. Preferred Qualifications (A Plus!) Hands-on experience with vLLM for high-throughput LLM inference in production environments. Practical application of GEPA (Generative Evaluation and Prompt Architecture) or similar prompt optimization frameworks to systematically improve LLM performance. Experience with LLM fine-tuning (LoRA, QLoRA), instruction tuning, or distillation for domain-specific financial use cases. Familiarity with financial data domains : credit risk modeling, loan underwriting, KYC/AML documents, regulatory text, or financial NLP.",data engineering;data scientist;data wrangling;feature engineering;llm;mlops;nlp;python;rag;risk modeling;testing;vector databases
Frontend Developer,HJ Recruitment,Indonesia,https://id.linkedin.com/jobs/view/frontend-developer-at-hj-recruitment-4323045284?position=3&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=wl0llc217V3cdhEJZ5uxYA%3D%3D,"Frontend Developer | Next.js | TypeScript | Remote We’re building something big a next-gen AI recruitment platform and we’re looking for a designer who can code .| Only applications who email and send me through projects will be considered - harvey.jutton@hjrecruiting.com This isn’t the usual “make it look pretty” design gig. You’ll own the look, feel, and flow of a platform that will be used by recruiters worldwide and you’ll build it with your own hands. If you love sketching interfaces, jumping straight into Next.js + TypeScript , and seeing your ideas go live fast, this role is for you. Why this role is different You won’t be “stuck in Figma.” You’ll design and code. You’ll have massive influence on how the product looks, feels, and scales. You’ll be working with a lean team that ships fast, experiments, and loves ideas. Your work will be seen, used, and appreciated by thousands of recruiters who rely on it. What you’ll be doing Design beautiful, modern, intuitive user interfaces Build them directly into production with Next.js + TypeScript Create a scalable design system that feels fresh and easy to use Turn complex workflows into smooth, simple user journeys Collaborate with product + backend to deliver at startup speed What we’re looking for A portfolio that shows taste, clarity, and modern design Real coding skills (Next.js, TypeScript, React) not just “basic HTML/CSS” SaaS or marketplace experience is a huge plus Someone creative, curious, and excited to push boundaries What’s in it for you Remote-first work from anywhere Equity be part of the upside, not just the day-to-day A chance to set the design tone for a global platform A fun, ambitious team that’s actually building something new not another copycat app If you’re a frontend developer, and you want to build something exciting with people who move fast, we’d love to see your portfolio and GitHub. If you’re ready to build AI that actually matters , send links to your projects and include 🦄 in your application . Email: harvey.jutton@hjrecruiting.com Only applications who email and send me through projects will be considered",css;github;html;react;typescript
Machine Learning Engineer [Talent Pool all LEvel],PT. Indosat Tbk,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/machine-learning-engineer-talent-pool-all-level-at-pt-indosat-tbk-4319200104?position=4&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=blxggoeU4UvYwSzXOAzGvw%3D%3D,"Machine Learning Engineer (MLE) ensures that AI and machine learning models transition seamlessly from experimentation to production through well-structured, automated, and continuously improving pipelines. This role is responsible for code refactoring, CI/CD updates, pipeline monitoring in the experiment layer, and model retraining, ensuring AI systems are scalable, stable, and high-performing throughout their lifecycle. MLE ensures model code is production-ready, pipelines are automated and monitored, and models are retrained regularly to sustain accuracy and business value. The role combines strong engineering discipline with proactive problem-solving to make AI operationally reliable and value-generating across all domains of the AI CoE. Responsibilities: Refactor and modularize data science code for scalability, efficiency, and deployment readiness. Maintain and enhance CI/CD pipelines to automate model testing, packaging, and deployment. Monitor ML pipelines in Vertex AI experiment layer; ensure job completion, accuracy, and resource optimization. Execute scheduled or trigger-based retraining to maintain model performance and prevent drift. Manage code and pipeline versioning; update documentation and logs after every retrain or release. Partner with Data Scientists and MLE Ops to troubleshoot deployment or retraining issues. Qualifications: Bachelor’s degree in Computer Science, Data Engineering, or Artificial Intelligence. 5–8 years of experience in machine learning engineering, MLOps, or AI deployment environments. Proficient in Python, Git, and cloud ML platforms such as Vertex AI (GCP) or equivalent (AWS SageMaker, Azure ML). Strong experience in CI/CD pipeline automation and code optimization for production deployment. Understanding of model retraining workflows, monitoring, and data drift detection. Excellent problem-solving, documentation, and collaboration skills in agile, cross-functional teams.",agile;aws;azure;ci/cd;data engineering;gcp;git;machine learning;mlops;monitoring;python;scalability;testing;vertex ai
"Data Scientist, Business Intelligence",Shopee,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-business-intelligence-at-shopee-4320394831?position=5&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=cvm4hlQuKFocpNDYDuUQ%2BQ%3D%3D,"Job Description Prototyping, developing, and deploying advanced analytics data models and machine learning solutions. Communicating with the product and business teams to understand business processes and translate them to modeling requirements. Researching industry trends and competition information, analyze the change trend of user demands, and diagnose business problems through multi-dimensional analysis, discovering risks, excavation opportunities & providing optimization. Requirements Master's or Bachelor's degree in Science, Technology, Engineering dan Mathematics or a relevant field of study Min. 1 year of relevant experience in Data Science or similar fields. Advanced knowledge in Python/R is essential and working knowledge of SQL is strongly preferred. Familiarity in Natural Language Processing / Deep Learning specific algorithms is a plus (e.g. NLTK, SKLearn, TensorFlow).",deep learning;machine learning;natural language processing;python;r;sklearn;sql;tensorflow
Data Scientist,Prudential Indonesia (PT Prudential Life Assurance),"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-at-prudential-indonesia-pt-prudential-life-assurance-4323334499?position=6&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=kJvsnj6p%2BV2t%2Bb8q9IAmIw%3D%3D,"Prudential’s purpose is to be partners for every life and protectors for every future. Our purpose encourages everything we do by creating a culture in which diversity is celebrated and inclusion assured, for our people, customers, and partners. We provide a platform for our people to do their best work and make an impact to the business, and we support our people’s career ambitions. We pledge to make Prudential a place where you can Connect, Grow, and Succeed. Job Responsibilities: Design, build, and maintain analytics solutions that enable data-driven decision-making across internal business teams. Optimise and maintain code for accuracy, performance, scalability, and maintainability across the full analytics pipeline – from data extraction to modelling, visualisation, and user interfaces. Collaborate closely with markets and end users to plan, develop, and deliver impactful, user-centric solutions. Requirements: At least 5 years of experience in analytics, data science, data engineering or a related field. Proficiency in Python, SQL, PowerBI, and DAX. Experience in insurance industry data analytics is highly advantageous. Passion for solving complex business problems using quantitative approaches. Bachelor’s degree or higher in Statistics, Computer Science, Actuarial Science, Mathematics, Business Analytics, Economics, or a related quantitative field. Prudential is an equal opportunity employer. We provide equality of opportunity of benefits for all who apply and who perform work for our organisation irrespective of sex, race, age, ethnic origin, educational, social and cultural background, marital status, pregnancy and maternity, religion or belief, disability or part-time / fixed-term work, or any other status protected by applicable law. We encourage the same standards from our recruitment and third-party suppliers taking into account the context of grade, job and location. We also allow for reasonable adjustments to support people with individual physical or mental health requirements.",business analytics;data engineering;powerbi;python;scalability;sql
Front-end Developer,Faspay,"Sawah Besar, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/front-end-developer-at-faspay-4336871434?position=7&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=3RTX9vWN2aN0IKwF70mdww%3D%3D,"Job Qualifications Bachelor’s degree in Computer Science, Information Technology, or related field. 2–3 years of experience as a Front End Engineer/Developer, preferably in fintech, e-commerce, or payment gateway industry. Strong proficiency in HTML5, CSS3, and JavaScript (ES6+). Hands-on experience with modern front-end frameworks such as React.js, Next.js, or Vue.js. Proficient in integrating RESTful APIs / GraphQL. Familiar with version control systems (Git/GitHub/GitLab). Solid understanding of responsive design and cross-browser compatibility. Knowledge of secure coding practices for financial and payment applications. Experience with build and packaging tools (Webpack, Vite, or similar). Job Descriptions Build, develop, and maintain high-performance, secure, and responsive web-based payment gateway applications. Translate UI/UX designs into interactive, user-friendly web applications. Optimize applications for speed, accessibility, and cross-browser compatibility. Collaborate with Product Managers, Backend Engineers, and UI/UX Designers to deliver new features. Ensure front-end security (e.g., XSS, CSRF protection, input validation) in compliance with fintech/payment standards. Integrate the front end with backend APIs and third-party services (e.g., payment methods, fraud detection, etc.). Create and maintain technical documentation for front-end development. Stay up to date with the latest front-end technologies and best practices to enhance product quality.",fraud detection;git;github;gitlab;graphql;javascript;react;security;version control;vue
Machine Learning Operation Engineer [Talent Pool all Level],PT. Indosat Tbk,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/machine-learning-operation-engineer-talent-pool-all-level-at-pt-indosat-tbk-4318330846?position=8&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=tMwWmw48wKTvOwprxBoPug%3D%3D,"Machine Learning Engineer – Ops (MLE Ops) ensures the continuous operation, performance, and reliability of AI and machine learning models that have been deployed into production. This role manages the daily execution of ML pipelines, monitors model performance in the experiment and production layers, and supports retraining, version control, and issue resolution to maintain model health and value realization. As part of the AI CoE’s Run Layer, the MLE Ops is responsible for ensuring that all AI systems deployed through Vertex AI are stable, auditable, and continuously optimized. The role involves close collaboration with MLEs, Data Scientists, and FinOps Analysts to monitor costs, model drift, and performance degradation, ensuring AI remains an operationally reliable capability across all domains. Responsibilities: Monitor and manage AI pipelines in Vertex AI; ensure job completion, version tracking, and failure recovery. Monitor deployed models for data drift, accuracy decay, and performance anomalies. Execute scheduled or trigger-based model retraining to sustain performance levels. Ensure continuous integration pipelines run smoothly; apply updates and patches as needed. Diagnose and resolve pipeline, model, or data-related incidents in coordination with MLEs and Data Engineers. Maintain logs, change records, and performance reports for governance and transparency. Qualifications: Bachelor’s degree in Computer Science, Information Technology, or Data Engineering. 3–6 years of experience in machine learning operations (MLOps), DevOps, or data infrastructure management. Hands-on experience with Vertex AI, Airflow, Docker, and CI/CD frameworks (GitLab CI, Jenkins, Cloud Build). Understanding of model monitoring, retraining workflows, and performance metrics tracking. Strong analytical and troubleshooting skills for debugging complex pipeline or environment issues. Detail-oriented with good documentation habits and a focus on operational discipline.",airflow;ci/cd;data engineering;devops;docker;gitlab;gitlab ci;jenkins;machine learning;mlops;monitoring;version control;vertex ai
Gojek - Data Scientist - Supply incentives,GoTo Group,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/gojek-data-scientist-supply-incentives-at-goto-group-4310705375?position=9&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=%2BQU%2BIsmNmhZ8ABOMkE%2FcSA%3D%3D,"About The Role As a Data Scientist on the Fulfilment team at Gojek, you’ll join a cross-functional group spanning Singapore, India, and Indonesia, working together to solve some of the company’s most complex and impactful problems. Our mission is to fulfil our users' orders efficiently and balance the needs of the customers, drivers and merchants. In this role, you’ll work closely with business leaders, product managers, engineers, and fellow data scientists who are deeply committed to building real-world solutions. Within your first six months, you’ll contribute to improving our dynamic driver incentives to drive reliability of our on demand services. This is a high-impact role where core data science work directly shapes the user experience and driver earnings. If you're passionate about using data to solve real problems, thrive in a fast-moving environment, and want to see your work make a tangible difference at scale, this is the team for you. What You Will Do Translate complex business challenges into well-defined technical problems solvable with data, statistics, and machine learning. Collaborate with product managers, engineers, and business stakeholders to build and scale data science solutions that power driver allocations, surge pricing and driver incentives. Own the full ML lifecycle—from ideation and research to model development, pipeline implementation, deployment, experimentation, and driving measurable business outcomes. Improve the efficiency of our dynamic driver incentives using techniques from machine learning, causal inference, optimisation and simulation Design and interpret experiments to measure model impact, working with analysts and product teams to ensure rigorous evaluation and clear success metrics. Monitor and evaluate model performance, identifying areas for improvement and proposing solutions Communicate insights, trade-offs, and technical decisions effectively to cross-functional stakeholders, and operate with a high degree of autonomy in ambiguous problem spaces. What You Will Need Bachelor’s or Master’s degree in Computer Science, Statistics, Machine Learning, or a related quantitative field Solid understanding of statistics and machine learning fundamentals, with coursework or projects demonstrating practical application. Proficiency in Python and SQL, and familiarity with data analysis or modeling libraries. Strong analytical thinking and problem-solving skills, with the ability to reason from data and communicate findings clearly. A willingness to learn fast, take initiative, and work collaboratively in a cross-functional team. Curiosity, humility, and a drive to apply data science to real-world problems at scale. About The Team The fulfilment team works on some of the most high-leverage problems in Gojek. Our real time engines power all of Gojek's on demand services - food delivery, ride-hailing and logistics - and ensure the timely fulfilment of millions of orders daily. We tackle complex, real-world challenges: What’s the best driver incentive scheme given budget and supply targets? How can pricing be adjusted to maximize revenue as well as balance customer demand and driver earnings? Why are drivers with certain characteristics more likely to complete long-distance trips than others? How long will a certain food order take for a restaurant to prepare and accordingly when should we dispatch a driver? And how do we take these decisions in real time, just a few milliseconds? Solving these problems requires not just data and models, but thoughtful product design, experimentation, and scale. We’re equipped with rich datasets, strong cross-functional partnerships, and modern MLOps infrastructure to build and deploy impactful solutions efficiently. As a team, we’re concerned not only with the growth of the company, but each other’s personal and professional growths, too. Along with keeping fit (via table tennis or other activities), our team bonds over our shared love of traveling and eating. About GoTo Group GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household. About Gojek Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market. About GoTo Financial GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last. GoTo and its business units, including Gojek and GoToFinancial (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels.",data scientist;machine learning;mlops;python;sql
Data Scientist,Blue Bird Group,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-at-blue-bird-group-4336926240?position=10&pageNum=0&refId=fi2obEXq7xy3%2BBJhqvwCPg%3D%3D&trackingId=ru7I%2FjSG5%2BWp%2F8Y7ih5vxA%3D%3D,"Job Qualifications: Bachelors degree in Computer Science, Statistics, Mathematics, Data Science, or related field (Masters degree is a plus). Strong knowledge of supervised and unsupervised ML algorithms and statistical concepts. Proficiency in SQL and Python for data wrangling and preprocessing. Hands-on experience with forecasting models and time-series analysis (ARIMA, XGBoost, CatBoost, Prophet, LSTM). Familiarity with ETL pipelines, model deployment (Docker, APIs), and MLOps practices. Experience with cloud environments (AWS, GCP) and data visualization tools. Excellent analytical, problem-solving, and communication skills; ability to work collaboratively in a team environment. Key Responsibilities: Develop and evaluate forecasting models using statistical and machine learning techniques. Contribute to model generation and optimization using ML algorithms. Perform data exploration and analysis (EDA) for feature engineering. Collaborate with operations teams to translate findings into actionable strategies. Design and maintain ETL pipelines for data processing. Deploy machine learning models into production environments and ensure ongoing maintenance using MLOps practices. Work with cloud platforms (AWS, GCP) for scalable model deployment. Ensure data integrity and quality throughout the pipeline.",arima;aws;catboost;communication;data visualization;data wrangling;docker;eda;etl;feature engineering;gcp;lstm;machine learning;mlops;model deployment;python;sql;xgboost
